Number of instrumented instructions;Number of covered binaries;Binaries;Instrumented instructions
49;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno']
50;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec']
51;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc']
52;3;['echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb']
53;9;['logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps']
54;12;['unlink', 'link', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd']
55;13;['pathchk', 'unlink', 'link', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb']
56;14;['rmdir', 'pathchk', 'unlink', 'link', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb']
57;18;['rmdir', 'nohup', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb']
58;20;['mktemp', 'rmdir', 'nohup', 'yes', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div']
